system:time_start,NDVI
2018-01-01,0.362
2018-01-09,0.121
2018-01-17,0.427
2018-01-25,
2018-02-02,0.444
2018-02-10,0.068
2018-02-18,0.208
2018-02-26,0.435
2018-03-06,0.417
2018-03-14,0.439
2018-03-22,0.425
2018-03-30,
2018-04-07,0.083
2018-04-15,0.128
2018-04-23,0.503
2018-05-01,0.13
2018-05-09,0.765
2018-05-17,0.712
2018-05-25,
2018-06-02,
2018-06-10,0.655
2018-06-18,
2018-06-26,0.775
2018-07-04,
2018-07-12,0.518
2018-07-20,
2018-07-28,
