date,ndvi
1/1/2018,5713.36
1/17/2018,5533.21
2/2/2018,5440.71
2/18/2018,5285.64
3/6/2018,5208.86
3/22/2018,5148.43
4/7/2018,5115.00
4/23/2018,7559.71
5/9/2018,8791.36
5/25/2018,8892.71
6/10/2018,9011.79
6/26/2018,8801.93
7/12/2018,8966.64
7/28/2018,8859.14
