system:time_start,NDVI
"Jan 1, 2018",0.053
"Jan 9, 2018",0.025
"Jan 17, 2018",0.058
"Jan 25, 2018",
"Feb 2, 2018",0.051
"Feb 10, 2018",0.002
"Feb 18, 2018",0.063
"Feb 26, 2018",0.049
"Mar 6, 2018",0.042
"Mar 14, 2018",0.047
"Mar 22, 2018",0.047
"Mar 30, 2018",
"Apr 7, 2018",0.007
"Apr 15, 2018",0.034
"Apr 23, 2018",0.029
"May 1, 2018",0.001
"May 9, 2018",0.028
"May 17, 2018",0.038
"May 25, 2018",
"Jun 2, 2018",
"Jun 10, 2018",0.091
"Jun 18, 2018",
"Jun 26, 2018",0.023
"Jul 4, 2018",
"Jul 12, 2018",0.016
"Jul 20, 2018",
"Jul 28, 2018",
